Net,li1,met1,met2,met3,met4,
N000,NA,NA,0.00%,100.00%,100.00%,
N001,NA,NA,0.00%,100.00%,100.00%,
N002,NA,NA,0.00%,100.00%,100.00%,
N003,NA,NA,0.00%,100.00%,100.00%,
N004,NA,NA,0.00%,93.00%,NA,
N005,NA,NA,0.00%,96.15%,98.87%,
N006,NA,NA,0.00%,98.25%,100.00%,
N007,NA,NA,74.68%,100.00%,NA,
N008,NA,NA,0.00%,91.36%,90.26%,
N009,NA,NA,0.00%,99.78%,56.63%,
N010,NA,NA,0.00%,93.47%,100.00%,
N011,NA,NA,0.00%,100.00%,NA,
N012,NA,NA,0.00%,100.00%,100.00%,
N013,NA,NA,0.00%,70.42%,NA,
N014,NA,NA,0.00%,96.84%,NA,
N015,NA,NA,93.27%,100.00%,0.00%,
N016,NA,NA,0.00%,69.95%,100.00%,
N017,NA,NA,0.00%,61.49%,NA,
N018,NA,NA,0.00%,45.84%,NA,
N019,NA,NA,0.00%,43.29%,NA,
N020,NA,NA,0.00%,100.00%,100.00%,
N021,NA,NA,0.00%,90.31%,100.00%,
N022,NA,NA,0.00%,67.71%,NA,
N023,NA,NA,0.00%,82.24%,NA,
N024,NA,NA,0.00%,48.56%,NA,
N025,NA,NA,0.00%,100.00%,100.00%,
N026,NA,NA,0.00%,100.00%,100.00%,
N027,NA,NA,23.51%,79.57%,NA,
N028,NA,NA,0.00%,100.00%,NA,
N029,NA,NA,0.00%,100.00%,NA,
N030,NA,NA,0.00%,100.00%,NA,
N031,NA,NA,0.00%,79.10%,NA,
N032,NA,NA,0.00%,100.00%,NA,
N033,NA,NA,NA,99.28%,37.20%,
N034,NA,NA,0.00%,79.94%,NA,
N035,NA,NA,0.00%,100.00%,NA,
N036,NA,NA,NA,100.00%,100.00%,
N037,NA,NA,0.00%,91.50%,NA,
N038,NA,NA,0.00%,85.45%,NA,
N039,NA,NA,0.00%,77.95%,99.50%,
N040,NA,NA,0.00%,98.05%,NA,
Total,NA,NA,9.35%,88.69%,92.64%,78.22%,
