Net,li1,met1,met2,met3,met4,
N000,NA,NA,100.00%,100.00%,100.00%,
N001,NA,NA,100.00%,100.00%,100.00%,
N002,NA,NA,100.00%,100.00%,100.00%,
N003,NA,NA,13.50%,95.06%,100.00%,
N004,NA,NA,42.50%,100.00%,100.00%,
N005,NA,NA,100.00%,100.00%,100.00%,
N006,NA,NA,63.54%,100.00%,100.00%,
N007,NA,NA,82.86%,100.00%,100.00%,
N008,NA,NA,100.00%,100.00%,100.00%,
N009,NA,NA,100.00%,100.00%,100.00%,
N010,NA,NA,18.18%,100.00%,100.00%,
N011,NA,NA,86.39%,100.00%,100.00%,
N012,NA,NA,100.00%,100.00%,100.00%,
N013,NA,NA,100.00%,100.00%,100.00%,
Total,NA,NA,66.49%,99.75%,100.00%,98.89%,
