Net,li1,met1,met2,met3,
N0047,100.00%,100.00%,100.00%,NA,
N0048,100.00%,100.00%,100.00%,NA,
N0049,100.00%,100.00%,100.00%,NA,
N0054,100.00%,62.57%,62.58%,84.15%,
N0059,100.00%,100.00%,100.00%,NA,
N0060,100.00%,100.00%,73.55%,97.31%,
N0068,100.00%,100.00%,0.00%,100.00%,
N0069,100.00%,100.00%,70.51%,100.00%,
N0070,100.00%,100.00%,0.00%,100.00%,
N0071,100.00%,100.00%,100.00%,100.00%,
N0072,100.00%,100.00%,100.00%,NA,
N0073,0.00%,0.00%,100.00%,69.97%,
N0074,0.00%,0.00%,100.00%,99.98%,
N0075,0.00%,0.00%,81.71%,100.00%,
N0080,100.00%,100.00%,72.45%,0.00%,
N0205,100.00%,100.00%,100.00%,NA,
N0206,100.00%,100.00%,100.00%,100.00%,
N0207,100.00%,13.87%,55.47%,61.11%,
N0208,100.00%,100.00%,44.19%,35.44%,
N0209,100.00%,100.00%,100.00%,100.00%,
N0210,100.00%,100.00%,100.00%,100.00%,
N0211,100.00%,100.00%,100.00%,100.00%,
N0212,100.00%,17.95%,35.42%,100.00%,
N0213,100.00%,59.62%,80.70%,100.00%,
N0214,100.00%,100.00%,22.91%,100.00%,
N0215,100.00%,100.00%,13.25%,100.00%,
N0216,100.00%,38.40%,78.42%,100.00%,
N0217,100.00%,100.00%,100.00%,100.00%,
N0218,100.00%,95.43%,99.41%,96.53%,
N0219,100.00%,98.41%,100.00%,100.00%,
N0220,100.00%,100.00%,100.00%,100.00%,
N0221,100.00%,100.00%,100.00%,100.00%,
N0222,100.00%,100.00%,100.00%,100.00%,
N0223,100.00%,100.00%,100.00%,100.00%,
N0224,100.00%,100.00%,100.00%,100.00%,
N0225,100.00%,100.00%,100.00%,100.00%,
N0226,100.00%,100.00%,100.00%,100.00%,
N0227,100.00%,100.00%,100.00%,65.42%,
N0228,100.00%,100.00%,100.00%,100.00%,
N0229,100.00%,100.00%,98.65%,63.23%,
N0230,100.00%,100.00%,100.00%,100.00%,
N0231,100.00%,100.00%,100.00%,100.00%,
N0232,8.82%,0.84%,0.00%,100.00%,
N0233,0.00%,0.00%,71.38%,100.00%,
N0234,100.00%,100.00%,100.00%,100.00%,
N0235,100.00%,100.00%,100.00%,100.00%,
N0236,100.00%,13.59%,0.00%,100.00%,
N0237,100.00%,100.00%,77.59%,26.25%,
N0238,100.00%,100.00%,48.77%,100.00%,
N0290,100.00%,100.00%,100.00%,100.00%,
N0291,100.00%,100.00%,100.00%,100.00%,
N0292,100.00%,100.00%,100.00%,100.00%,
N0293,100.00%,100.00%,100.00%,100.00%,
N0296,100.00%,100.00%,100.00%,NA,
N0297,100.00%,96.12%,52.06%,0.00%,
N0000,94.44%,87.54%,51.77%,NA,
N0001,94.64%,68.07%,84.94%,0.00%,
N0002,100.00%,92.82%,39.00%,0.00%,
N0003,100.00%,83.19%,45.94%,NA,
N0004,100.00%,41.28%,69.60%,0.00%,
N0005,100.00%,54.90%,33.69%,0.00%,
N0006,100.00%,75.12%,41.50%,NA,
N0007,100.00%,100.00%,100.00%,NA,
N0008,100.00%,100.00%,82.32%,NA,
N0009,100.00%,100.00%,100.00%,NA,
N0010,100.00%,100.00%,85.39%,NA,
N0011,100.00%,100.00%,41.84%,100.00%,
N0012,100.00%,100.00%,100.00%,100.00%,
N0013,100.00%,41.87%,72.78%,100.00%,
N0014,100.00%,72.49%,28.89%,100.00%,
N0015,100.00%,100.00%,NA,NA,
N0016,66.67%,27.94%,51.60%,95.44%,
N0017,100.00%,40.09%,84.17%,100.00%,
N0018,100.00%,80.55%,15.60%,100.00%,
N0019,100.00%,100.00%,NA,NA,
N0020,100.00%,100.00%,35.43%,73.71%,
N0021,100.00%,100.00%,72.57%,100.00%,
N0022,100.00%,100.00%,100.00%,100.00%,
N0023,100.00%,99.50%,63.71%,100.00%,
N0024,100.00%,100.00%,78.47%,80.06%,
N0025,100.00%,100.00%,100.00%,100.00%,
N0026,100.00%,100.00%,47.04%,100.00%,
N0027,100.00%,74.83%,90.40%,100.00%,
N0028,100.00%,100.00%,59.77%,94.45%,
N0029,100.00%,100.00%,28.69%,75.70%,
N0030,100.00%,66.85%,85.26%,100.00%,
N0031,100.00%,100.00%,89.88%,100.00%,
N0032,100.00%,100.00%,100.00%,100.00%,
N0033,100.00%,100.00%,100.00%,100.00%,
N0034,100.00%,100.00%,94.72%,NA,
N0035,100.00%,100.00%,83.47%,100.00%,
N0036,100.00%,100.00%,38.78%,100.00%,
N0037,100.00%,100.00%,47.04%,100.00%,
N0038,100.00%,100.00%,100.00%,100.00%,
N0039,100.00%,100.00%,100.00%,100.00%,
N0040,100.00%,100.00%,38.78%,100.00%,
N0041,100.00%,13.72%,26.99%,100.00%,
N0042,100.00%,100.00%,0.00%,NA,
N0043,100.00%,100.00%,32.94%,NA,
N0044,100.00%,100.00%,100.00%,NA,
N0045,100.00%,100.00%,100.00%,NA,
N0046,100.00%,100.00%,100.00%,NA,
N0050,100.00%,100.00%,50.00%,NA,
N0051,100.00%,100.00%,95.98%,0.00%,
N0052,100.00%,100.00%,100.00%,NA,
N0053,100.00%,94.43%,22.98%,0.00%,
N0055,100.00%,88.83%,65.07%,100.00%,
N0056,100.00%,100.00%,87.50%,NA,
N0057,50.00%,80.41%,100.00%,NA,
N0058,100.00%,85.63%,64.60%,92.67%,
N0061,100.00%,100.00%,76.40%,100.00%,
N0062,100.00%,98.59%,73.96%,0.00%,
N0063,100.00%,50.72%,100.00%,NA,
N0064,100.00%,100.00%,100.00%,NA,
N0065,100.00%,100.00%,100.00%,NA,
N0066,100.00%,100.00%,100.00%,NA,
N0067,66.67%,99.43%,100.00%,NA,
N0076,100.00%,99.56%,99.54%,NA,
N0077,100.00%,100.00%,72.37%,0.00%,
N0078,100.00%,100.00%,100.00%,NA,
N0079,100.00%,100.00%,100.00%,NA,
N0081,100.00%,57.49%,64.99%,100.00%,
N0082,100.00%,100.00%,89.00%,NA,
N0083,100.00%,91.65%,66.50%,0.00%,
N0084,100.00%,92.39%,73.01%,NA,
N0085,100.00%,100.00%,67.37%,0.00%,
N0086,100.00%,100.00%,NA,NA,
N0087,100.00%,100.00%,NA,NA,
N0088,100.00%,100.00%,NA,NA,
N0251,100.00%,95.89%,24.42%,NA,
N0089,100.00%,100.00%,NA,NA,
N0090,100.00%,100.00%,NA,NA,
N0091,100.00%,100.00%,NA,NA,
N0092,100.00%,100.00%,NA,NA,
N0093,100.00%,100.00%,NA,NA,
N0094,100.00%,100.00%,NA,NA,
N0095,100.00%,100.00%,NA,NA,
N0096,100.00%,100.00%,NA,NA,
N0097,100.00%,100.00%,NA,NA,
N0098,100.00%,100.00%,NA,NA,
N0099,100.00%,100.00%,NA,NA,
N0100,100.00%,100.00%,NA,NA,
N0101,100.00%,100.00%,NA,NA,
N0102,100.00%,100.00%,NA,NA,
N0103,100.00%,100.00%,NA,NA,
N0104,100.00%,100.00%,NA,NA,
N0105,100.00%,100.00%,NA,NA,
N0106,100.00%,99.69%,NA,NA,
N0107,100.00%,99.69%,NA,NA,
N0108,100.00%,100.00%,NA,NA,
N0109,100.00%,100.00%,NA,NA,
N0110,100.00%,100.00%,100.00%,NA,
N0111,100.00%,100.00%,NA,NA,
N0112,100.00%,100.00%,NA,NA,
N0113,100.00%,100.00%,NA,NA,
N0114,100.00%,100.00%,NA,NA,
N0115,100.00%,100.00%,NA,NA,
N0116,100.00%,100.00%,NA,NA,
N0117,100.00%,100.00%,NA,NA,
N0118,100.00%,100.00%,NA,NA,
N0119,100.00%,100.00%,NA,NA,
N0120,100.00%,100.00%,NA,NA,
N0121,100.00%,100.00%,NA,NA,
N0122,45.59%,97.20%,NA,NA,
N0123,100.00%,100.00%,NA,NA,
N0124,100.00%,100.00%,NA,NA,
N0125,100.00%,100.00%,NA,NA,
N0126,100.00%,100.00%,NA,NA,
N0127,100.00%,100.00%,NA,NA,
N0128,100.00%,100.00%,NA,NA,
N0129,100.00%,100.00%,NA,NA,
N0130,100.00%,100.00%,NA,NA,
N0131,100.00%,100.00%,NA,NA,
N0132,100.00%,100.00%,NA,NA,
N0133,100.00%,100.00%,NA,NA,
N0134,100.00%,100.00%,NA,NA,
N0135,100.00%,100.00%,NA,NA,
N0136,100.00%,100.00%,NA,NA,
N0137,100.00%,100.00%,NA,NA,
N0138,100.00%,99.69%,NA,NA,
N0139,100.00%,100.00%,NA,NA,
N0140,100.00%,100.00%,NA,NA,
N0141,100.00%,100.00%,NA,NA,
N0142,50.00%,100.00%,NA,NA,
N0143,100.00%,100.00%,NA,NA,
N0144,100.00%,100.00%,NA,NA,
N0145,100.00%,100.00%,NA,NA,
N0146,100.00%,100.00%,NA,NA,
N0147,100.00%,100.00%,NA,NA,
